p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo
Welsh_springer_spaniel,0.465074,True,collie,0.156665,True,Shetland_sheepdog,0.0614285,True,8.0,10.0,None,None,None,None,None
redbone,0.506826,True,miniature_pinscher,0.0741916999999999,True,Rhodesian_ridgeback,0.07201,True,7.0,10.0,a,None,None,None,None
German_shepherd,0.596461,True,malinois,0.1385839999999999,True,bloodhound,0.116197,True,9.0,10.0,a,None,None,None,None
Rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,6.0,10.0,a,None,None,None,None
miniature_pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,5.0,10.0,None,None,None,None,None
Bernese_mountain_dog,0.651137,True,English_springer,0.263788,True,Greater_Swiss_Mountain_dog,0.0161992,True,10.0,10.0,a,None,None,None,None
box_turtle,0.933012,False,mud_turtle,0.0458854,False,terrapin,0.0178852999999999,False,2.0,10.0,an,None,None,None,None
chow,0.692517,True,Tibetan_mastiff,0.0582793999999999,True,fur_coat,0.0544486,False,10.0,10.0,a,None,None,None,None
shopping_cart,0.962465,False,shopping_basket,0.0145937999999999,False,golden_retriever,0.00795896,True,9.0,10.0,a,None,None,None,None
miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.0820861,True,8.0,10.0,the,None,None,None,None
golden_retriever,0.77593,True,Tibetan_mastiff,0.0937178,True,Labrador_retriever,0.0724266,True,10.0,10.0,the,None,None,None,None
Gordon_setter,0.503672,True,Yorkshire_terrier,0.174201,True,Pekinese,0.109454,True,9.0,10.0,None,None,None,None,None
Walker_hound,0.260857,True,English_foxhound,0.1753819999999999,True,Ibizan_hound,0.0974705,True,10.0,10.0,None,None,None,None,None
pug,0.489814,True,bull_mastiff,0.4047219999999999,True,French_bulldog,0.0489595,True,6.0,10.0,None,None,None,None,None
bloodhound,0.195217,True,German_shepherd,0.0782598,True,malinois,0.0756278,True,9.0,10.0,None,None,None,None,None
Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True,8.0,10.0,None,None,None,None,None
English_setter,0.298617,True,Newfoundland,0.149842,True,borzoi,0.133649,True,11.0,10.0,None,None,None,None,None
hen,0.965932,False,cock,0.0339194,False,partridge,5.20658e-05,False,1.0,10.0,None,None,None,None,None
desktop_computer,0.086502,False,desk,0.0855474,False,bookcase,0.0794797,False,10.0,10.0,None,None,None,None,None
Italian_greyhound,0.176053,True,toy_terrier,0.111884,True,basenji,0.111152,True,11.0,10.0,None,None,None,None,None
Maltese_dog,0.8575309999999999,True,toy_poodle,0.0630638,True,miniature_poodle,0.0255806,True,1.0,10.0,an,None,None,None,None
three-toed_sloth,0.914671,False,otter,0.01525,False,great_grey_owl,0.0132072,False,3.0,10.0,a,None,None,None,None
ox,0.4166689999999999,False,Newfoundland,0.278407,True,groenendael,0.102643,True,9.0,10.0,an,None,None,None,None
golden_retriever,0.8587440000000001,True,Chesapeake_Bay_retriever,0.0547868,True,Labrador_retriever,0.0142408999999999,True,10.0,10.0,None,None,None,None,None
malamute,0.3368739999999999,True,Siberian_husky,0.147655,True,Eskimo_dog,0.0934123999999999,True,8.0,10.0,None,None,None,None,None
guinea_pig,0.996496,False,skunk,0.00240245,False,hamster,0.000460863,False,6.0,10.0,None,None,None,None,None
soft-coated_wheaten_terrier,0.326467,True,Afghan_hound,0.259551,True,briard,0.206803,True,11.0,10.0,None,None,None,None,None
Chihuahua,0.978108,True,toy_terrier,0.00939697,True,papillon,0.00457681,True,9.0,10.0,None,None,None,None,None
black-and-tan_coonhound,0.529139,True,bloodhound,0.24422,True,flat-coated_retriever,0.17381,True,7.0,10.0,a,None,None,None,None
coho,0.40464,False,barracouta,0.271485,False,gar,0.189945,False,2.0,10.0,quite,None,None,None,None
toy_terrier,0.14968,True,papillon,0.148258,True,Chihuahua,0.14286,True,10.0,10.0,Walter,None,None,None,None
Blenheim_spaniel,0.906777,True,cocker_spaniel,0.0903464,True,Shih-Tzu,0.00111687,True,12.0,10.0,None,None,None,None,None
Pembroke,0.371361,True,chow,0.249394,True,Pomeranian,0.241878,True,7.0,10.0,None,None,None,None,None
llama,0.505184,False,Irish_terrier,0.104109,True,dingo,0.0620712,False,6.0,10.0,None,None,None,None,None
Chesapeake_Bay_retriever,0.18413,True,chain_saw,0.0567753,False,power_drill,0.0367634,False,10.0,10.0,None,None,None,None,None
Chihuahua,0.6718529999999999,True,beagle,0.12468,True,Saluki,0.0440941999999999,True,7.0,10.0,None,None,None,None,None
curly-coated_retriever,0.322084,True,giant_schnauzer,0.287955,True,Labrador_retriever,0.166331,True,9.0,10.0,Scout,None,None,None,None
dalmatian,0.278954,True,Labrador_retriever,0.237612,True,Great_Pyrenees,0.171106,True,10.0,10.0,Kreggory,None,None,None,None
Ibizan_hound,0.0443334,True,Pembroke,0.0432093,True,West_Highland_white_terrier,0.0389056,True,9.0,10.0,Jimothy,None,None,None,None
Border_collie,0.4478029999999999,True,English_springer,0.170497,True,collie,0.139206,True,4.0,10.0,None,None,None,None,None
German_shepherd,0.975401,True,beagle,0.00868727,True,bloodhound,0.00539404,True,8.0,10.0,Christoper,None,None,None,None
Labrador_retriever,0.887707,True,Chihuahua,0.029307,True,French_bulldog,0.0207563,True,8.0,10.0,a,None,None,None,None
miniature_poodle,0.546933,True,cocker_spaniel,0.1652549999999999,True,toy_poodle,0.0959589,True,10.0,10.0,Lugan,None,None,None,None
seat_belt,0.375057,False,miniature_pinscher,0.167175,True,Chihuahua,0.0869506,True,5.0,10.0,Josep,None,None,None,None
Italian_greyhound,0.618316,True,Weimaraner,0.151363,True,vizsla,0.0859891,True,10.0,10.0,a,None,None,None,None
snail,0.999888,False,slug,5.51417e-05,False,acorn,2.6258e-05,False,2.0,10.0,None,None,None,None,None
English_setter,0.328792,True,Brittany_spaniel,0.283545,True,Ibizan_hound,0.0574615,True,8.0,10.0,Jockson,None,None,None,None
miniature_schnauzer,0.496953,True,standard_schnauzer,0.285276,True,giant_schnauzer,0.0737636999999999,True,9.0,10.0,Jeph,None,None,None,None
Maltese_dog,0.359383,True,teddy,0.148759,False,West_Highland_white_terrier,0.1060069999999999,True,12.0,10.0,None,None,None,None,None
Airedale,0.448459,True,toy_poodle,0.12403,True,teddy,0.1101829999999999,False,10.0,10.0,None,None,None,None,None
triceratops,0.442113,False,armadillo,0.114071,False,common_iguana,0.0432553,False,3.0,10.0,None,None,None,None,None
swab,0.589446,False,chain_saw,0.190142,False,wig,0.0345097,False,11.0,10.0,a,None,None,None,None
hay,0.507637,False,Rottweiler,0.0624899,True,water_buffalo,0.0484246999999999,False,10.0,10.0,Carll,None,None,None,None
hyena,0.98723,False,African_hunting_dog,0.0126007999999999,False,coyote,5.7350100000000005e-05,False,9.0,10.0,Klevin,None,None,None,None
